Quartile Boundaries:
Q1/Q2 boundary (25th percentile): 50.45 %
Q2/Q3 boundary (50th percentile/median): 57.92 %
Q3/Q4 boundary (75th percentile): 70.08 %

Participant Rankings (Best to Worst):
Rank	Participant ID	Overall Accuracy (%)	Overall Correct	Overall Total	Choice1 Accuracy (%)	Choice1 Correct	Choice1 Total	Choice2 Accuracy (%)	Choice2 Correct	Choice2 Total	Quartile
192	440	55.12	70	127	57.14	36	63	53.12	34	64	Second Quartile (Q2)
193	502	55	66	120	53.33	32	60	56.67	34	60	Second Quartile (Q2)
194	396	54.78	63	115	51.61	32	62	58.49	31	53	Second Quartile (Q2)
195	115	54.69	70	128	48.44	31	64	60.94	39	64	Second Quartile (Q2)
196	479	54.47	67	123	41.67	25	60	66.67	42	63	Second Quartile (Q2)
197	87	54.33	69	127	59.38	38	64	49.21	31	63	Second Quartile (Q2)
198	159	54.33	69	127	47.62	30	63	60.94	39	64	Second Quartile (Q2)
199	288	54.03	67	124	52.38	33	63	55.74	34	61	Second Quartile (Q2)
200	337	53.97	68	126	53.12	34	64	54.84	34	62	Second Quartile (Q2)
201	374	53.97	68	126	60.32	38	63	47.62	30	63	Second Quartile (Q2)
202	446	53.97	68	126	52.38	33	63	55.56	35	63	Second Quartile (Q2)
203	497	53.91	69	128	54.69	35	64	53.12	34	64	Second Quartile (Q2)
204	416	53.85	63	117	51.67	31	60	56.14	32	57	Second Quartile (Q2)
205	5	53.54	68	127	50.79	32	63	56.25	36	64	Second Quartile (Q2)
206	205	53.39	63	118	49.15	29	59	57.63	34	59	Second Quartile (Q2)
207	160	53.12	68	128	50	32	64	56.25	36	64	Second Quartile (Q2)
208	46	52.94	63	119	50.88	29	57	54.84	34	62	Second Quartile (Q2)
209	59	52.94	63	119	59.38	38	64	45.45	25	55	Second Quartile (Q2)
210	507	52.94	63	119	54.24	32	59	51.67	31	60	Second Quartile (Q2)
211	262	52.89	64	121	55.56	35	63	50	29	58	Second Quartile (Q2)
212	257	52.85	65	123	54.84	34	62	50.82	31	61	Second Quartile (Q2)
213	327	52.8	66	125	62.9	39	62	42.86	27	63	Second Quartile (Q2)
214	12	52.5	63	120	56.67	34	60	48.33	29	60	Second Quartile (Q2)
215	505	52.46	64	122	51.56	33	64	53.45	31	58	Second Quartile (Q2)
216	515	52.42	65	124	53.97	34	63	50.82	31	61	Second Quartile (Q2)
217	452	52.38	66	126	50.79	32	63	53.97	34	63	Second Quartile (Q2)
218	124	52.34	67	128	53.12	34	64	51.56	33	64	Second Quartile (Q2)
219	345	52.34	67	128	51.56	33	64	53.12	34	64	Second Quartile (Q2)
220	528	52.34	67	128	51.56	33	64	53.12	34	64	Second Quartile (Q2)
221	425	52	65	125	50	31	62	53.97	34	63	Second Quartile (Q2)
222	123	51.97	66	127	53.12	34	64	50.79	32	63	Second Quartile (Q2)
223	369	51.97	66	127	51.56	33	64	52.38	33	63	Second Quartile (Q2)
224	311	51.69	61	118	54.24	32	59	49.15	29	59	Second Quartile (Q2)
225	512	51.67	62	120	54.39	31	57	49.21	31	63	Second Quartile (Q2)
226	408	51.52	51	99	54.35	25	46	49.06	26	53	Second Quartile (Q2)
