Prolific ID,Base Payoff,Bonus Payoff,Total Payoff,Final Bonus Score,Final Choice 1 Sum
Unknown,6.0,0.59,6.59,440,220
Unknown,6.0,0.0,6.0,-20,200
Unknown,6.0,0.0,6.0,-40,20
Unknown,6.0,0.0,6.0,-600,-940
Unknown,6.0,0.03,6.03,20,-340
Unknown,6.0,0.37,6.37,280,100
Unknown,6.0,1.23,7.23,920,780
Unknown,6.0,0.0,6.0,-20,120
Unknown,6.0,0.0,6.0,-980,-580
Unknown,6.0,0.03,6.03,20,260
Unknown,6.0,0.0,6.0,0,780
Unknown,6.0,0.0,6.0,-400,-720
Unknown,6.0,0.08,6.08,60,-300
Unknown,6.0,0.05,6.05,40,-720
Unknown,6.0,0.0,6.0,0,-160
Unknown,6.0,0.56,6.56,420,700
Unknown,6.0,0.24,6.24,180,-260
Unknown,6.0,0.16,6.16,120,-60
Unknown,6.0,0.05,6.05,40,-260
Unknown,6.0,0.0,6.0,-40,-80
Unknown,6.0,0.93,6.93,700,440
Unknown,6.0,0.19,6.19,140,880
Unknown,6.0,0.0,6.0,-700,-840
Unknown,6.0,0.0,6.0,-320,-140
Unknown,6.0,0.0,6.0,-180,20
Unknown,6.0,0.0,6.0,-380,-240
Unknown,6.0,0.03,6.03,20,-340
Unknown,6.0,0.51,6.51,380,-180
Unknown,6.0,0.75,6.75,560,140
Unknown,6.0,0.05,6.05,40,280
Unknown,6.0,0.4,6.4,300,520
Unknown,6.0,0.0,6.0,-320,-280
Unknown,6.0,0.0,6.0,-440,100
Unknown,6.0,0.64,6.64,480,-260
Unknown,6.0,0.8,6.8,600,420
Unknown,6.0,0.11,6.11,80,-60
Unknown,6.0,0.0,6.0,-280,-320
Unknown,6.0,0.0,6.0,-400,-320
Unknown,6.0,0.0,6.0,-120,-160
Unknown,6.0,0.83,6.83,620,340
Unknown,6.0,0.0,6.0,-220,80
Unknown,6.0,0.0,6.0,-80,-220
Unknown,6.0,0.35,6.35,260,360
Unknown,6.0,0.03,6.03,20,-340
Unknown,6.0,0.51,6.51,380,20
Unknown,6.0,0.0,6.0,-860,-560
Unknown,6.0,0.53,6.53,400,20
Unknown,6.0,0.0,6.0,-480,-140
Unknown,6.0,0.64,6.64,480,480
Unknown,6.0,0.48,6.48,360,180
Unknown,6.0,0.0,6.0,-520,0
Unknown,6.0,0.35,6.35,260,-160
Unknown,6.0,0.05,6.05,40,-100
Unknown,6.0,0.08,6.08,60,-180
Unknown,6.0,0.0,6.0,-300,-100
Unknown,6.0,0.4,6.4,300,-20
Unknown,6.0,0.0,6.0,0,160
Unknown,6.0,0.0,6.0,-180,-60
Unknown,6.0,0.0,6.0,-100,400
Unknown,6.0,0.0,6.0,-400,160
Unknown,6.0,0.08,6.08,60,280
Unknown,6.0,0.05,6.05,40,-60
Unknown,6.0,0.0,6.0,-360,-340
Unknown,6.0,0.0,6.0,-300,-760
Unknown,6.0,0.61,6.61,460,320
Unknown,6.0,0.0,6.0,-340,-160
Unknown,6.0,0.21,6.21,160,260
Unknown,6.0,0.0,6.0,-60,60
Unknown,6.0,0.11,6.11,80,200
Unknown,6.0,0.16,6.16,120,280
Unknown,6.0,0.0,6.0,-480,20
Unknown,6.0,0.0,6.0,-80,300
Unknown,6.0,0.03,6.03,20,120
Unknown,6.0,0.51,6.51,380,-220
Unknown,6.0,0.0,6.0,-60,0
Unknown,6.0,0.0,6.0,-120,-240
Unknown,6.0,0.27,6.27,200,460
Unknown,6.0,0.0,6.0,-100,20
Unknown,6.0,0.27,6.27,200,60
Unknown,6.0,0.0,6.0,-220,60
Unknown,6.0,0.0,6.0,-240,60
Unknown,6.0,0.08,6.08,60,120
Unknown,6.0,0.0,6.0,-380,-400
Unknown,6.0,0.0,6.0,-140,380
Unknown,6.0,0.37,6.37,280,160
Unknown,6.0,0.03,6.03,20,300
Unknown,6.0,0.16,6.16,120,-40
Unknown,6.0,0.08,6.08,60,-140
Unknown,6.0,0.0,6.0,-240,100
Unknown,6.0,0.45,6.45,340,-20
Unknown,6.0,0.21,6.21,160,260
Unknown,6.0,0.0,6.0,-280,-120
No ID provided,6.0,0.61,6.61,460,160
No ID provided,6.0,0.83,6.83,620,480
No ID provided,6.0,0.0,6.0,0,200
No ID provided,6.0,0.11,6.11,80,180
Unknown,6.0,0.0,6.0,-140,0
Unknown,6.0,0.0,6.0,-560,-320
Unknown,6.0,0.32,6.32,240,360
Unknown,6.0,0.43,6.43,320,140
Unknown,6.0,0.43,6.43,320,480
